baseline,metric,delta,lower,upper,wilcoxon_p,wilcoxon_W,wins,ties,losses,raw_wins,raw_ties,raw_losses
rbf_svc,balanced_accuracy,-0.004166666666666652,-0.022222222222222192,0.012500000000000015,0.932805434372276,201.0,10,10,10,10,10,10
rbf_svc,macro_f1,-0.004462325333468709,-0.022574738363273044,0.012492918313570484,0.9161669962598081,200.0,10,10,10,10,10,10
mlp_11_parameter,balanced_accuracy,-0.022222222222222223,-0.044444444444444446,-0.0013888888888889137,0.03107220641719998,92.5,4,13,13,4,12,14
mlp_11_parameter,macro_f1,-0.022583917107234397,-0.04420457097130143,-0.0026949013546839614,0.0731401104406394,109.5,5,12,13,5,12,13
rff_256,balanced_accuracy,0.005555555555555558,-0.019444444444444424,0.030555555555555537,0.5560464442142687,177.0,11,10,9,11,10,9
rff_256,macro_f1,0.005493911666246553,-0.018321351653364595,0.031097940304462036,0.5013761613392471,173.0,11,10,9,11,10,9
gradient_boosting,balanced_accuracy,-0.027777777777777776,-0.04861111111111112,-0.008333333333333352,0.01660558981854537,86.5,5,11,14,5,11,14
gradient_boosting,macro_f1,-0.02815889768221497,-0.04970331401569664,-0.008333222896266378,0.04311938750199049,104.0,5,11,14,5,11,14
